sample_id,pod_id,seq,t0_src_utc,t1_gateway_accepted_utc,t1_row_ts_pc_utc,t2_db_visible_utc,t3_dashboard_visible_utc,temp_c,rh_pct,gateway_ingestion_ms,db_availability_ms,db_after_gateway_ms,dashboard_visibility_ms,end_to_end_ms,dashboard_status
99:40,99,40,2026-04-03T11:25:52.796566Z,2026-04-03T11:25:52.796566Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.813604Z,2026-04-03T11:25:52.845971Z,20.4,45.4,0.0,17.038,17.038,49.404999999999994,49.404999999999994,OPTIMAL
99:41,99,41,2026-04-03T11:25:52.845971Z,2026-04-03T11:25:52.846978Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.863947Z,2026-04-03T11:25:52.892099Z,20.41,45.41,1.0070000000000001,17.976,16.969,46.128,46.128,OPTIMAL
99:42,99,42,2026-04-03T11:25:52.892099Z,2026-04-03T11:25:52.893100Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.908117Z,2026-04-03T11:25:52.937110Z,20.42,45.42,1.001,16.018,15.017000000000001,45.011,45.011,OPTIMAL
99:43,99,43,2026-04-03T11:25:52.937110Z,2026-04-03T11:25:52.938111Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.955111Z,2026-04-03T11:25:52.982362Z,20.43,45.43,1.001,18.001,17.0,45.252,45.252,OPTIMAL
99:44,99,44,2026-04-03T11:25:52.982362Z,2026-04-03T11:25:52.983327Z,2026-04-03T11:25:52Z,2026-04-03T11:25:53.000346Z,2026-04-03T11:25:53.033322Z,20.44,45.44,0.9650000000000001,17.984,17.019,50.96,50.96,OPTIMAL
99:45,99,45,2026-04-03T11:25:53.033322Z,2026-04-03T11:25:53.034323Z,2026-04-03T11:25:53Z,2026-04-03T11:25:53.051323Z,2026-04-03T11:25:53.081463Z,20.45,45.45,1.001,18.001,17.0,48.141000000000005,48.141000000000005,OPTIMAL
99:46,99,46,2026-04-03T11:25:53.081463Z,2026-04-03T11:25:53.082452Z,2026-04-03T11:25:53Z,2026-04-03T11:25:53.098447Z,2026-04-03T11:25:53.114464Z,20.46,45.46,0.9890000000000001,16.983999999999998,15.995,33.001000000000005,33.001000000000005,OPTIMAL
99:47,99,47,2026-04-03T11:25:53.114464Z,2026-04-03T11:25:53.115438Z,2026-04-03T11:25:53Z,2026-04-03T11:25:53.135444Z,2026-04-03T11:25:53.174422Z,20.47,45.47,0.9740000000000001,20.979999999999997,20.006,59.958,59.958,OPTIMAL
99:48,99,48,2026-04-03T11:25:53.174422Z,2026-04-03T11:25:53.175425Z,2026-04-03T11:25:53Z,2026-04-03T11:25:53.191436Z,2026-04-03T11:25:53.206442Z,20.48,45.48,1.003,17.014000000000003,16.011,32.02,32.02,OPTIMAL
99:49,99,49,2026-04-03T11:25:53.206442Z,2026-04-03T11:25:53.207421Z,2026-04-03T11:25:53Z,2026-04-03T11:25:53.224441Z,2026-04-03T11:25:53.254746Z,20.49,45.49,0.9790000000000001,17.999000000000002,17.02,48.304,48.304,OPTIMAL
99:50,99,50,2026-04-03T11:25:53.254746Z,2026-04-03T11:25:53.254746Z,2026-04-03T11:25:53Z,2026-04-03T11:25:53.273737Z,2026-04-03T11:25:53.303747Z,20.5,45.5,0.0,18.991,18.991,49.001000000000005,49.001000000000005,OPTIMAL
